LIAI,FIL,DESIGNATION,COUL,REP1,REP2,TYPE,LONG,OPTION,REF CON1,CODE APP.1,ALV1,NUM FAB.1,POS1,EXT1,REF JOINT1,REF CON2,CODE APP.2,ALV2,NUM FAB.2,POS2,EXT2,REF JOINT2
"137H","0598","SGN CAN H","BE/W","","CBL$33961","NEWA3Z-0.35","815","XUCEH2&&FLEXFL&&L72F&&BVM5&&PHAS2","8200676954","120BA","A4","160","9A","8200185963","","4501020609","E137H-A","L","E-08","10F","*EPISSURE*",""
"137H","0646","SGN CAN H","BE/W","","CBL$6671","NEWA3Z-0.35","1075","ABS&&XUCEH2&&PHAS2","243409329R","1094AA","26","162","8I","243460558R","243529796R","4501020609","E137H-A","R","E-08","10F","*EPISSURE*",""
"13B","0039","CDE- ECL INT / FLR CDC","GY","","","NEWA3Z-0.50","2145","ALL","7703297093","180AA","1","044","5B","7701997044","","8200308246","645AA","32","092","8B","8200176508",""
"14A","0045","CDE+ PV E/V AV","BE/O","","","NEWA3Z-1.25","1705","ALL","243401712R","145AA","3","016","4E","243465184R","","243425L54D","212AA","3","059","12F","7703497853","7703697009"
"14B","0046","CDE+ GV E/V AV","GY/O","","","NEWA3Z-1.25","1710","ALL","243401712R","145AA","5","016","4E","243465184R","","243425L54D","212AA","5","059","12F","7703497853","7703697009"
"14C","0047","CDE+ ART FX E/V AV","BR/O","","","NEWA3Z-1.25","1125","XUCEH2&&EVC","243425L54D","212AA","4","059","12F","7703497853","7703697009","243409762R","645AC","2","094","8C","243465184R",""
"14D","0049","CDE PV TPRZ E/V AV","W/O","","","NEWA3Z-1.25","1055","XUCEH2&&EVC","243401712R","145AA","2","016","4E","243465184R","","243409762R","645AC","1","094","8C","243465184R",""
"14E","0050","CDE+ TPRZ E/V AV","BE/W","","","NEWA3Z-0.35","1105","XUCEH2&&EVC","243401712R","145AA","1","016","4E","243465531R","","8200308246","645AA","7","092","8B","8200176508",""
"15A","0051","CDE TMN L/ARC","BR/W","","","NEWA3Z-0.35","1360","XUCEH2&&LAC","8200300688","2668AA","6","077","5H","8200176508","","8200308246","645AA","10","092","8B","8200176508",""
"15B","0052","CDE L/ARC","P/W","","","NEWA3Z-0.35","1365","XUCEH2&&LAC","8200300688","2668AA","5","077","5H","8200176508","","8200308246","645AA","14","092","8B","8200176508",""
"15LP","0674","CDE+ DGV LNT AR PRTJ","W","","","NEWA3Z-2.00","4970","PHAS2&&LAC","7703297093","200AA","1","053","1B","7701997045","","243512399R","260AA","A5","071","6D","7703497847",""
"15M","0054","CDE- RL LNT CHFT","G","","","NEWA3Z-0.50","505","XUCEH2&&LAC","243512399R","260AA","A2","071","6D","7703497846","","8200308246","645AA","34","092","8B","8200176508",""
"16A","0055","CDE+ PPE LA/V AV","GY","","","NEWA3Z-0.50","1100","XUCEH2&&EVC","243401712R","145AA","9","016","4E","243465184R","","8200308246","645AA","15","092","8B","8200176508",""
"16A","0056","CDE+ PPE LA/V AV","GY/BR","","","NEWA3Z-0.75","2050","(SSELA&&ESS&&PHAS2)||(SSELA&&FLEXFL&&L72F&&PHAS2)","243401712R","145AA","9","016","4E","*Av 0055","","8200074725","221BA","2","063","11H","8200918761","8200074731"
"1B","0061","CDE- BBN RL DMR","BR","","","NEWA3Z-0.50","495","XUCEH2&&BVM5","243512399R","260AA","B2","071","6D","7703497846","","8200405652","645AB","3","093","9C","8200176508",""
"1G","0567","+ BATT PROT/ DEMARREUR","G/P","","","NEWA3Z-2.50","925","XALT90&&STOSTA&&BVM5&&PHAS2","8200527487","212-32A","A1","058","11E","7703497701","","243512399R","260AA","B5","071","6D","7703497847",""
"26W","0092","CDE- RL AVERTISSEUR SONORE","BR","","","NEWA3Z-0.50","2150","AIRBA2&&PHAS2","FILMORT_1V","105AA","1","004","9K","7701997044","","243510051R","777AA","A5","102","11E","7703497846",""
"26X","0529","SGN- EMBR","GY/W","","","NEWA3Z-0.35","620","XUCEH2&&STOSTA","8200451077","1759AA","1","143","8E","8200858001","","8200405652","645AB","38","093","9C","8200176508",""
"26X","0531","SGN- EMBR","GY/W","","","NEWA3Z-0.35","830","FLEXFL&&L72F&&STOSTA&&BVM5&&PHAS2","8200676954","120BA","B3","160","9A","8200185963","","8200451077","1759AA","1","143","8E","*Av 0529",""
"26Z","0537","SGN+ POINT MORT BVM","BE","","","NEWA3Z-0.50","985","XUCEH2&&BVM5&&PHAS2","8200527487","212-32A","A5","058","11E","7703497696","","8200308246","645AA","27","092","8B","8200176508",""
"28A","0458","CDE- TMN PRSN HL","BR/W","","","NEWA3Z-0.35","1375","XUCEH2&&PHAS2","8200527487","212-32A","A4","058","11E","7703497696","","8200489954","247AA","24","131","6E","8200176508",""
"2Y","0639","SGN CPTR CRT BDU","W","","","NEWA3Z-0.50","1145","XUCEH2&&AVESM","8200405652","645AB","11","093","9C","8200176508","","8200490359","928AB","2","158","11B","8200185964","8200191432"
"30A","0460","CDE- TMN NIVOCODE","G/W","","","NEWA3Z-0.35","1210","XUCEH2&&PHAS2","2434271L23","207AA","1","105","11D","2434471L20","243520402R","8200489954","247AA","28","131","6E","8200176508",""
"34AN","0096","SGN ANTENNE","B","","CBL$1952","NEWA3Z-0.50","2815","RAD16F","8200963779","1208AA","1","009","4C","*---POE---","","8200963779","261BD","1","076","7H","*---POE---",""
"34E","0669","SGN+ HP AVD","GY","","CBL$69","NEWA3Z-0.50","1345","RAD16F&&PHAS2","243406658R","1598AA","1","030","8J","243469211R","","243409762R","261BB","3","075","6I","243465531R",""
"34F","0670","SGN- HP AVD","BR","","CBL$69","NEWA3Z-0.50","1345","RAD16F&&PHAS2","243406658R","1598AA","2","030","8J","243469211R","","243409762R","261BB","8","075","6I","243465531R",""
"34G","0671","SGN+ HP AVG","BE","","CBL$71","NEWA3Z-0.50","1720","RAD16F&&PHAS2","243406658R","1597BA","1","029","6E","243469211R","","243409762R","261BB","2","075","6I","243465531R",""
"34H","0672","SGN- HP AVG","P","","CBL$71","NEWA3Z-0.50","1720","RAD16F&&PHAS2","243406658R","1597BA","2","029","6E","243469211R","","243409762R","261BB","7","075","6I","243465531R",""
"38AH","0115","CDE + MOT GMV VTS 1","W/BR","","","NEWA3Z-0.75","1385","XRES4","243408861R","1158AA","3","006","8H","243469211R","","243406491R","319AA","4","087","6H","243469211R",""
"38AJ","0116","CDE + MOT GMV VTS 2","G/BR","","","NEWA3Z-0.75","1375","XRES4","243408861R","1158AA","1","006","8H","243469211R","","243406491R","319AA","3","087","6H","243469211R",""
"38AK","0117","CDE + MOT GMV VTS 3","W/BR","","","NEWA3Z-0.75","1375","XRES4","243408861R","1158AA","2","006","8H","243469211R","","243406491R","319AA","2","087","6H","243469211R",""
"38AL","0118","CDE + MOT GMV VTS 4","P/O","","","NEWA3Z-1.25","1385","XRES4","243408861R","1158AA","4","006","8H","243465146R","","243406491R","319AA","1","087","6H","243469211R",""
"38AL","0119","CDE + MOT GMV VTS 4","P/O","","","NEWA3Z-1.25","435","ALL","243406658R","1156AA","2","005","8H","243469211R","","243408861R","1158AA","4","006","8H","*Av 0118",""
"3BB","0127","CDE E/VN PURGE A/VE","P/W","","","NEWA3Z-0.35","1795","PHAS2","8200527487","212-32A","C10","058","11E","7703497696","","243403326R","371AA","2","089","11I","243464568R",""
"3FB","0587","+ INJN / RL PRTN","G/BR","","","NEWA3Z-1.50","830","FLEXFL&&L72F&&BVM5&&PHAS2","8200676954","120BA","G1","160","9A","8200638680","","8200527487","212-32A","B1","058","11E","7703497701",""
"3FB1","0129","+ ALM PAR RL PRTN ELMS INJN","GY/W","","","NEWA3Z-0.35","1790","ALL","8200527487","212-32A","C9","058","11E","7703497696","","243403326R","371AA","1","089","11I","243464568R",""
"3JN","0586","CDE- RL GMV 1","W","","","NEWA3Z-0.50","805","FLEXFL&&L72F&&BVM5&&PHAS2","8200676954","120BA","B1","160","9A","8200185964","","8200527487","212-32A","B2","058","11E","7703497696",""
"3LR","0591","+ PTSM CHR 1 /","BE","","","NEWA3Z-0.50","1315","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","3","107","7F","8200185964","8200191432","8200676954","120BA","G2","160","9A","8200638686","243524903R"
"3LS","0592","SGN+ PTSM CHR 1","GY","","","NEWA3Z-0.50","1320","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","4","107","7F","8200185964","8200191432","8200676954","120BA","H2","160","9A","8200638686","243524903R"
"3LT","0593","- PTSM CHR 1 /","BR","","","NEWA3Z-0.50","1325","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","5","107","7F","8200185964","8200191432","8200676954","120BA","H3","160","9A","8200638686","243524903R"
"3LU","0594","+ PTSM CHR 2 /","W","","","NEWA3Z-0.50","1315","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","2","107","7F","8200185964","8200191432","8200676954","120BA","F2","160","9A","8200185964",""
"3LV","0595","- PTSM CHR 2 /","P","","","NEWA3Z-0.50","1315","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","6","107","7F","8200185964","8200191432","8200676954","120BA","F4","160","9A","8200185964",""
"3LW","0596","SGN+ PTSM CHR 2","G","","","NEWA3Z-0.50","1315","FLEXFL&&L72F&&BVM5&&PHAS2","243427Y009","921AA","1","107","7F","8200185964","8200191432","8200676954","120BA","F3","160","9A","8200185964",""
"3NP","0143","+ PPE PRTJ","G","","","NEWA3Z-0.50","3925","ALL","8200527487","212-32A","A7","058","11E","7703497696","","8200170436","833AA","1","106","4D","8200918755","8200074721"
"41A","0455","SGN+ JJ NV CRBT","BE/W","","","NEWA3Z-0.35","3900","XUCEH2&&PHAS2","8200489954","247AA","35","131","6E","8200176508","","8200170436","833AA","2","106","4D","8200918755","8200074721"
"41B","0456","- JJ NV CRBT","GY/W","","","NEWA3Z-0.35","3900","XUCEH2&&PHAS2","8200489954","247AA","36","131","6E","8200176508","","8200170436","833AA","3","106","4D","8200918755","8200074721"
"47C","0631","SGN + SDE TPRT EXT","G/W","","","NEWA3Z-0.35","1905","XUCEH2&&RET02&&RHDD&&TETA&&PHAS2","243402257R","154-32C","10","024","8K","243465531R","","8200489954","247AA","29","131","6E","8200176508",""
"47D","0632","SGN ON SDE TPRT EXT","BE/W","","","NEWA3Z-0.35","1900","XUCEH2&&RET02&&RHDD&&TETA&&PHAS2","243402257R","154-32C","9","024","8K","243465531R","","8200489954","247AA","30","131","6E","8200176508",""
"4AH","0524","SGN CANH PRIVE CPTR ESP","GY/W","","CBL$1806","NEWA3Z-0.35","2645","XANGLE&&ABS&&DA&&PHAS2","243409651R","1232AB","4","151","4F","7703497454","","243409329R","1094AA","33","162","8I","243460558R","243529796R"
"4AP","0523","SGN CANL PRIVE CPTR ESP","BE/W","","CBL$1806","NEWA3Z-0.35","2645","XANGLE&&ABS&&DA&&PHAS2","243409651R","1232AB","5","151","4F","7703497454","","243409329R","1094AA","20","162","8I","243460558R","243529796R"
"4C","0648","SGN CPTR RO AVG","BR/W","","CBL$1634","NEWA3Z-0.35","1715","ABS&&PHAS2","243409329R","1094AA","8","162","8I","243460558R","243529796R","243427Y000","153AA","1","022","9C","8200185963","8200191429"
"4E","0649","+ CPTR RO AVG","G/W","","CBL$1634","NEWA3Z-0.35","1715","ABS&&PHAS2","243409329R","1094AA","19","162","8I","243460558R","243529796R","243427Y000","153AA","2","022","9C","8200185963","8200191429"
"4G","0650","SGN CPTR RO ARG","GY/W","","CBL$765","NEWA3Z-0.35","4410","ABS&&PHAS2","243409329R","1094AA","18","162","8I","243460558R","243529796R","243427Y000","151AA","1","018","5D","8200185963","8200191429"
"4H","0651","+ CPTR RO ARG","BR/W","","CBL$765","NEWA3Z-0.35","4410","ABS&&PHAS2","243409329R","1094AA","31","162","8I","243460558R","243529796R","243427Y000","151AA","2","018","5D","8200185963","8200191429"
"4M","0652","SGN CPTR RO AVD","BR/W","","CBL$762","NEWA3Z-0.35","755","ABS&&PHAS2","243409329R","1094AA","4","162","8I","243460558R","243529796R","243427Y000","152AA","1","019","9H","8200185963","8200191429"
"4N","0653","+ CPTR RO AVD","G/W","","CBL$762","NEWA3Z-0.35","755","ABS&&PHAS2","243409329R","1094AA","16","162","8I","243460558R","243529796R","243427Y000","152AA","2","019","9H","8200185963","8200191429"
"4S","0654","SGN CPTR RO ARD","GY/W","","CBL$764","NEWA3Z-0.35","5345","ABS&&PHAS2","243409329R","1094AA","29","162","8I","243460558R","243529796R","243427Y000","150AA","1","017","6J","8200185963","8200191429"
"4T","0655","+ CPTR RO ARD","BR/W","","CBL$764","NEWA3Z-0.35","5345","ABS&&PHAS2","243409329R","1094AA","17","162","8I","243460558R","243529796R","243427Y000","150AA","2","017","6J","8200185963","8200191429"
"56J","0517","+ CPTR PRSN MASTERVAC","B","","","NEWA3Z-0.50","1405","STOSTA&&PHAS2","8200801669","1187AA","1","159","11F","8200185964","8200191432","243409329R","1094AA","5","162","8I","243460558R","243528728R"
